author,h_index
Chun-Yang Zhang,1
Chunyang Li,1
Chuqiao Xu,1
Ciaran McCreesh,1
Claude Barthels,1
Claudio Gutiérrez,1
Cristian Riveros,1
Cristina Ioana Muntean,1
D. Acharjya,1
D. Boyd,1
D. Campbell,1
D. García-Seisdedos,1
D. Hafler,1
D. Haglin,1
D. J. Kundu,1
D. Kell,1
D. Nicoară,1
D. Ongari,1
D. Pedreschi,1
D. Punjani,1
D. Rajput,1
D. Schwabe,1
D. Vrgoč,1
D. Yan,1
Dagmar Waltemath,1
Daniel Hernández,1
Daniel Presser,1
Daniel Sánchez,1
David A. Bader,1
David Broneske,1
David Ediger,1
Dimitris Berberidis,1
Diogo Fernandes,1
Dirk Fahland,1
Doina Caragea,1
Dominik Tomaszuk,1
Dong Dai,1
Dongsong Zhang,1
E. Ahmed,1
E. Bertino,1
E. Deutsch,1
E. Emanuel,1
E. G. Caldarola,1
E. McKinney,1
E. Peter,1
E. Segal,1
E. Yadegaridehkordi,1
Ebrahim Mahdipour,1
Edin A. Muharemagic,1
Edy Portmann,1
Eliseo Parodi,1
Enzo Zerega,1
Erik Brynjolfsson,1
Erik M. Fredericks,1
Eugenia Oshurko,1
Evan,1
F. Chiclana,1
F. Emmert-Streib,1
F. Fan,1
F. Giannotti,1
F. Montecchiani,1
F. Nasaruddin,1
F. Piccialli,1
F. R. Chowdhury,1
F. Tao,1
F. Xiao,1
F. Yu,1
Fahim Ullah,1
Fangyuan Sui,1
Feida Zhu,1
Feiyue Wang,1
Filipe Sá,1
Flavio Villanustre,1
Florencia Besteiro,1
Florian Scheidl,1
Francesca Pratesi,1
Francesca Spezzano,1
Francesco Giacchè,1
Frans Coenen,1
Fred C. Santos,1
G. Alonso,1
G. Andrienko,1
G. Calic,1
G. Fletcher,1
G. Papadakis,1
G. Saake,1
G. T. Reddy,1
G. V. Erven,1
G. Ślusarczyk,1
Gabriel Campero Durand,1
Gautam Srivastava,1
George Lekakos,1
George Mangalaraj,1
Gerson Sunyé,1
Gong-Qing Wu,1
Graph Databases,1
Guillaume Bagan,1
Guoren Wang,1
Gwanggil Jeon,1
Gwendal Daniel,1
H. Florez,1
H. Gururaj,1
H. Hermjakob,1
H. Krcmar,1
H. Lai,1
H. Nguyen,1
H. Ogata,1
H. Rossman,1
H. V. Olivera,1
H. Voigt,1
H. Y. Yip,1
H. Yahia,1
Hafiz Suliman Munawar,1
Haibin Lv,1
Haitao Liu,1
Haixun Wang,1
Han Feng,1
Hannah R Thomas,1
Hao Chen,1
Hao Zhu,1
Hassan Chafi,1
He Zhang,1
Hemalatha Kivudujogappa Lingappa,1
Holmer Hemsen,1
Hong H. Nguyen,1
Hongyu Ren,1
Hossein Hassani,1
Hsinchun Chen,1
Huchang Liao,1
Hui Luan,1
Humphrey Shi,1
I. A. T. Hashem,1
I. Comyn-Wattiau,1
I. G. Cohen,1
I. Ibrahim,1
I. Kohane,1
I. Ray,1
Ibrar Yaqoob,1
Ieee Thar Baker Senior Member,1
Ikbal Taleb,1
Imane El Alaoui,1
Imran Ahmed,1
In Lee,1
Ing Wei Khor,1
Irina A. Roznovat,1
Irina Balaur,1
Itay Goldstein,1
J. Akoka,1
J. Baltes,1
J. Banerjee,1
J. Doppa,1
J. Faulon,1
J. Feo,1
J. Gobert,1
J. Guia,1
J. Huang,1
J. Karnes,1
J. Krogstie,1
J. Leskovec,1
J. Manyika,1
J. Nummenmaa,1
J. Oláh,1
J. Pellet,1
J. Popp,1
J. Robins,1
J. Vizcaíno,1
J. Wertz,1
J. Williams,1
J. Yu,1
James Trimble,1
Jason A. Poovey,1
Jayachandra Ananda Babu,1
Jens Lehmann,1
Jeremy J. Carver,1
Jerome Couturier,1
Jesse Weaver,1
Jiachen Li,1
Jianfei Cai,1
Jiangfeng Cheng,1
Jianjun Luo,1
Jianliang Xu,1
Jie Huang,1
Jie Li,1
Jie Zhang,1
Jimmy J. Lin,1
Jin Wang,1
Jin Yang,1
Jinbo Zhang,1
Jingjing An,1
Jingyu Zhang,1
Jiong Jin,1
Jirí Kovacic,1
Jisu Kim,1
Joe Zhu,1
Joffrey L. Leevy,1
John T. Hancock,1
Jordi Cabot,1
Jorge Mozzino,1
Juan Sequeda,1
Jugdutt Singh,1
Julius Hřivnáč,1
Jun Lyu,1
Junliang Wang,1
Jéssica Monteiro,1
K. Crawford,1
K. Daudjee,1
K. Han,1
K. Jablonka,1
K. Kersting,1
K. Ngiam,1
K. Rabuzin,1
Ka-Ching Chan,1
Karamjit Kaur,1
Karl L€ ofgren,1
Kate M. Bowers,1
Kazuki Osawa,1
Kenneth Cukier,1
Kornelia M. Batko,1
Kostas Stefanidis,1
Kuanishbay Sadatdiynov,1
Kuruva Lakshmanna,1
L. Akoglu,1
L. Bai,1
L. Ge,1
L. Libkin,1
L. Luo,1
L. Rodrigues,1
Laura Pollacci,1
LeeAnn Kung,1
Lei Chen,1
Leticia I. Gómez,1
Li Li,1
Li Zhu,1
Lian Duan,1
Liang Qiao,1
Liang Xu,1
Lida Xu,1
Lijun Chang,1
Liyana Shuib,1
Lu Qin,1
Luca Pappalardo,1
Lucas Cesar Ferreira,1
Luciana Rech,1
M. Arenas,1
M. Arshad,1
M. Bogaardt,1
M. Brigido,1
M. Chignell,1
M. Conti,1
M. Correia,1
M. Das,1
M. Dehmer,1
M. Dunstan,1
M. E. Walter,1
M. Guizani,1
M. Hasan,1
M. Hernán,1
M. Holanda,1
M. Kamal,1
M. M. Najafabadi,1
M. MacCoss,1
M. Madgwick,1
M. Mačák,1
M. Mohammadi,1
M. Musicante,1
M. Namaki,1
M. P. K. Reddy,1
M. R. Islam,1
M. R. Mahmood,1
M. R. Yeganegi,1
M. Rincón,1
M. Romero,1
M. Sadeeq,1
M. Schermann,1
M. Schuster,1
M. Serhani,1
M. Sevenich,1
M. Tamer Özsu,1
M. Valenta,1
M. Vinaixa,1
M. Warschauer,1
M. X. Ribeiro,1
M.S. Mahmud,1
Maciej Besta,1
Madala Srinivasa Rao,1
Maedeh Taj Mazinani,1
Malgorzata Lazarska,1
Mandeep Singh,1
Manpreet Singh,1
Manreet Bhullar,1
Manuel Bravo,1
Mao Ye,1
Marc Fischer,1
Marcel Wehrle,1
Marcus Pinnecke,1
Margaret H. Frank,1
Maria Boura,1
Mariam Baig,1
Marilde Terezinha,1
Marko Junkkari,1
Martin Strohbach,1
Maryam Ghasemaghaei,1
Marzieh Fathi,1
Matthew Zook,1
Matti Mäntymäki,1
Matus Stovcik,1
Matías Perazzo,1
Maximiliano Valverde,1
Meng Zhang,1
Meng-Chieh Lee,1
Michael Cochez,1
Michal Podstawski,1
Mikhail Galkin,1
Milan Cvitkovic,1
Ming Tang,1
Ming-Tuo Zhou,1
Misbah Ahmad,1
Mohamed Ahzam Amanullah,1
Mohan Naik Ramachandra,1
Mohit Sharma,1
Moshe Y. Vardi,1
Mostafa Haghi Kashani,1
Muhammad Imran,1
Murtaza Haider,1
N. Advokaat,1
N. Andrienko,1
N. B. Anuar,1
N. Bandeira,1
N. Huang,1
N. Misra,1
N. S. Seyed Tabib,1
N. Scrutton,1
N. Yakovets,1
Naeem Seliya,1
Nahla Aburawi,1
Nazihah Md. Akim,1
Neamat El-Tazi,1
Neil Swainston,1
Nikhil Shah,1
Nikoli Dryden,1
O. Bodenreider,1
O. Järv,1
O. Lassila,1
O. Tirkkonen,1
O. V. Rest,1
O. Varga,1
Olga Siedlecka-Lamch,1
Omar Alghushairy,1
Oreste Villa,1
Oshini Goonetilleke,1
P. Barceló,1
P. Branch,1
P. Divakarachari,1
P. Dobson,1
P. Furniss,1
P. Godfrey,1
P. Guagliardo,1
P. Géczy,1
P. KauserAhmed,1
P. Mendes,1
P. Prosser,1
P. S. G. Aruna Sri,1
P. Selmer,1
P. Senellart,1
P. Smyth,1
P. Sudhakar,1
Pablo Carbonell,1
Patrick Iff,1
Patrick Mikalef,1
Pedro A. Szekely,1
Peipei Yi,1
Peixiang Zhao,1
Petri Kotiranta,1
Philip Chen,1
Ping Li,1
Piotr Wieczorek,1
Polyane Wercelens,1
Prado Santos,1
Qingliang Li,1
Qinglin Qi,1
Qingqing Liu,1
Qingsong Lai,1
R. Baker,1
R. Batista-Navarro,1
R. Breitling,1
R. D. Virgilio,1
R. Dssouli,1
R. Guerra,1
R. Habeeb,1
R. Martínez-Tomás,1
R. McColl,1
R. Sherratt,1
R. Sinha,1
R. Spreafico,1
R. Upadhyay,1
Rachel B. Baker,1
Radu Ciucanu,1
Raed Alsini,1
Rajesh Kaluri,1
Rajesh Sharma,1
Rameshwar Dubey,1
Randall Wald,1
Raouf Bouhali,1
Ray Neiheiser,1
Ray Y. Zhong,1
Reihaneh H. Hariri,1
Renzhe Yu,1
Riccardo Guidotti,1
Riccardo Torlone,1
Richard A. Bauder,1
Robert Gerstenberger,1
Rohit kumar Kaliyar,1
Rommel N. Carvalho,1
Ron Henkel,1
Rui Xia,1
Russell Harmer,1
S. A. T. Mpinda,1
S. Ananiadou,1
S. Auer,1
S. Becken,1
S. Bhat,1
S. Bhowmick,1
S. Childe,1
S. Das,1
S. Esser,1
S. F. Kak,1
S. Jamuar,1
S. Kara,1
S. Kaushik,1
S. Kawano,1
S. Khan,1
S. M. Jameii,1
S. M. Moosavi,1
S. Qayyum,1
S. Ren,1
S. Sepasgozar,1
S. Shakyawar,1
S. Shilo,1
S. Singhal,1
S. Staworko,1
S. Tripathi,1
S. Vermeire,1
S. Wallace,1
S. Wamba,1
S. Wolfert,1
Sabyasachi Dash,1
Saket K. Sathe,1
Salimah Mokhtar,1
Salman Salloum,1
Sam Goundar,1
Sameh Sorour,1
Santiago Timón-Reina,1
Sara D'Onofrio,1
Sayantan Khanra,1
Shadi Ghajar-Khosravi,1
Shahin Kamali,1
Shahriar Akter,1
Sharma Chakravarthy,1
Shashika Ranga Muramudalige,1
Shavindar Singh,1
Shuai Zheng,1
Shujiro Okuda,1
Silviu Maniu,1
Simone Bertoli,1
Soad Almabdy,1
Solon Barocas,1
Srikanth Thudumu,1
Sriraam Natarajan,1
Stefan Plantikow,1
Stefan Slater,1
Stephane Unger,1
Stephen J. H. Yang,1
Steven Walton,1
Stine Hedensted,1
Subhi R. M. Zeebaree,1
Sungpack Hong,1
Suresh Hewapathirana,1
Sérgio Lifschitz,1
T. Byrd,1
T. Choi,1
T. Doyle,1
T. Hoefler,1
T. Hoeren,1
T. Khoshgoftaar,1
T. Korcsmáros,1
T. Papadopoulos,1
T. Sellis,1
T. Soule,1
T. Tang,1
T. Toivonen,1
Tamer Z. Emara,1
Tao Huang,1
Tao Jiang,1
Themis Palpanas,1
Thomas Myrach,1
Tian Wang,1
Tiancheng Chen,1
Tianyi Wang,1
Till Bitter,1
Tim Hulsen,1
Ting-Peng Liang,1
Tobias Lindaaker,1
Tushar Khot,1
U. S. Costa,1
U. Sivarajah,1
V. Christophides,1
V. Grover,1
V. Markl,1
V. Raghupathi,1
V. Storey,1
V. Tseng,1
V. Weerakkody,1
Vagisha Sharma,1
Valeria Soliani,1
Valéria Gonçalves Soares,1
Vasilis Efthymiou,1
Vasundra Touré,1
Victor Marsault,1
Vinh Phu Nguyen,1
Vito Giovanni Castellana,1
W. Didimo,1
W. Lai,1
W. N. Price,1
W. Raghupathi,1
W. Shahzad,1
Waldeyr M. C. Silva,1
Wasnaa Kadhim Jawad,1
Wei Ding,1
Wei-Yao Tang,1
Wen-Tao Wu,1
Wenqun Xiu,1
Wenwen Kang,1
William R Webster,1
Wisal Khan,1
Xiao-Jun Zeng,1
Xiaobo Shen,1
Xiaogang Ma,1
Xiaoming Li,1
Xindong Wu,1
Xingquan Zhu,1
Xiuzhen Zhang,1
Xuemin Lin,1
Xuyuan Kang,1
Y. Dixit,1
Y. Duan,1
Y. Ishihama,1
Y. Ong,1
Yang Yang,1
Yann Ramusat,1
Yaqiong Yang,1
Yasset Pérez-Riverol,1
Ye Yuan,1
Yehua He,1
Yesheng Cui,1
Yi Zhang,1
Yichuan Wang,1
Yige Wang,1
Yinghui Wu,1
Yisheng Lv,1
Yizhou Sun,1
Yong Chen,1
Yongjiang Liang,1
Youmna A. Megid,1
Youssef Gahi,1
Yu Bai,1
Yu Watanabe,1
Yuan-jie Li,1
Yuanyuan Tian,1
Yulan Wang,1
Yun Peng,1
Yun-ping Zhu,1
Yunsheng Bai,1
Yuqing Wu,1
Z. Ageed,1
Z. Allam,1
Z. Irani,1
Z. Li,1
Z. Obermeyer,1
Z. Pardos,1
Z. Zhang,1
Zahid Abul-Basher,1
Zaynah A. Dhunny,1
Zhaocheng Zhu,1
Zhe Fan,1
Zhe Wu,1
Zhenyi Yang,1
Zhi Sun,1
Zhihan Lv,1
Zhong Lin Wang,1
Ziming Wang,1
Zongyue Qin,1
